plant species,total_observations,native_bee_count,native_bee_ratio,bee_species_diversity,native_bee_ratio_norm,diversity_score_norm,abundance_score_norm,composite_score
Cosmos bipinnatus,340,256,0.753,38,0.753,1.0,1.0,0.9012
Rudbeckia hirta,159,158,0.994,23,0.994,0.5714285714285714,0.4597014925373134,0.7069390191897654
Monarda punctata,279,244,0.875,15,0.875,0.34285714285714286,0.817910447761194,0.6982302771855011
Leucanthemum vulgare,107,105,0.981,20,0.981,0.4857142857142857,0.3044776119402985,0.6294575692963753
Rudbeckia triloba,43,42,0.977,18,0.977,0.42857142857142855,0.11343283582089553,0.5534012793176972
Cichorium intybus,59,53,0.898,20,0.898,0.4857142857142857,0.16119402985074627,0.5532724946695097
Daucus carota,89,60,0.674,23,0.674,0.5714285714285714,0.2507462686567164,0.5162524520255863
Helenium flexuosum,34,34,1.0,11,1.0,0.22857142857142856,0.08656716417910448,0.49454157782515995
Lobularia maritima,15,15,1.0,12,1.0,0.2571428571428571,0.029850746268656716,0.48609808102345414
Symphyotrichum laeve,27,24,0.889,14,0.889,0.3142857142857143,0.06567164179104477,0.4695872068230278
Bidens aristosa,51,41,0.804,15,0.804,0.34285714285714286,0.1373134328358209,0.4656511727078892
Penstemon digitalis,16,16,1.0,9,1.0,0.17142857142857143,0.03283582089552239,0.4612793176972282
Trifolium pratense,41,32,0.78,14,0.78,0.3142857142857143,0.10746268656716418,0.43852452025586364
Asclepias tuberosa,20,17,0.85,12,0.85,0.2571428571428571,0.04477611940298507,0.43057569296375264
Agastache foeniculum,10,10,1.0,6,1.0,0.08571428571428572,0.014925373134328358,0.4301918976545842
Calendula officinalis,5,5,1.0,4,1.0,0.02857142857142857,0.0,0.4085714285714286
Chamaecrista nictitans,5,5,1.0,4,1.0,0.02857142857142857,0.0,0.4085714285714286
Coronilla varia,19,14,0.737,10,0.737,0.2,0.041791044776119404,0.3673373134328358
Melilotus officinalis,262,28,0.107,14,0.107,0.3142857142857143,0.7671641791044777,0.3672349680170576
Papaver rhoeas,8,7,0.875,4,0.875,0.02857142857142857,0.008955223880597015,0.3612579957356077
Chamaecrista fasciculata,66,34,0.515,13,0.515,0.2857142857142857,0.18208955223880596,0.34634115138592747
Pycnanthemum tenuifolium,5,4,0.8,4,0.8,0.02857142857142857,0.0,0.3285714285714286
Trifolium repens,10,7,0.7,6,0.7,0.08571428571428572,0.014925373134328358,0.31019189765458416
Solidago odora,5,3,0.6,3,0.6,0.0,0.0,0.24
Trifolium incarnatum,12,3,0.25,3,0.25,0.0,0.020895522388059702,0.10626865671641791
