plant_species,Total_Visits,Native_Visits,Native_Rate,Avg_Abundance,Bee_Diversity,Visit_Score,Native_Score,Abundance_Score,Composite_Score
Leucanthemum vulgare,105,105,1.0,13.362,19,1.0,1.0,0.8324714971029843,0.966494299420597
Rudbeckia hirta,59,59,1.0,16.051,11,0.5619047619047619,1.0,1.0,0.8247619047619048
Cichorium intybus,25,25,1.0,16.04,4,0.23809523809523808,1.0,0.9993146844433369,0.6951010321267627
Daucus carota,33,32,0.97,7.364,14,0.3142857142857143,0.97,0.4587876144788487,0.6054718086100556
Asclepias tuberosa,16,16,1.0,10.875,10,0.1523809523809524,1.0,0.6775278798828734,0.5964579569289556
Melilotus officinalis,28,28,1.0,5.893,13,0.26666666666666666,1.0,0.3671422341287148,0.5800951134924097
Chamaecrista fasciculata,23,23,1.0,7.13,8,0.21904761904761905,1.0,0.44420908354619654,0.5764608643282869
Rudbeckia triloba,13,13,1.0,9.231,3,0.12380952380952381,1.0,0.5751043548688556,0.5645446804975807
Coronilla varia,14,14,1.0,7.786,9,0.13333333333333333,1.0,0.4850788112890163,0.5503490955911367
Helenium flexuosum,19,19,1.0,5.842,6,0.18095238095238095,1.0,0.3639648620023675,0.5451739247814259
Trifolium pratense,25,25,1.0,3.8,9,0.23809523809523808,1.0,0.23674537411999252,0.5425871700620938
Cosmos bipinnatus,9,9,1.0,7.222,3,0.08571428571428572,1.0,0.4499408136564701,0.5242738770170083
Penstemon digitalis,16,16,1.0,4.25,9,0.1523809523809524,1.0,0.26478101052893904,0.5139085830581688
Monarda punctata,11,11,1.0,5.273,8,0.10476190476190476,1.0,0.3285153572986107,0.507607833364484
Agastache foeniculum,5,5,1.0,2.6,4,0.047619047619047616,1.0,0.1619836770294686,0.4514443544535128
Lobularia maritima,5,5,1.0,2.6,3,0.047619047619047616,1.0,0.1619836770294686,0.4514443544535128
Lotus corniculatus,3,3,1.0,3.0,2,0.02857142857142857,1.0,0.1869042427263099,0.44880941997383345
Pycnanthemum tenuifolium,4,4,1.0,2.25,3,0.0380952380952381,1.0,0.14017818204473242,0.4432737316470417
Trifolium repens,6,6,1.0,1.333,4,0.05714285714285714,1.0,0.0830477851847237,0.4394666998940876
Origanum vulgare,2,2,1.0,2.0,2,0.01904761904761905,1.0,0.1246028284842066,0.43253961331588897
Tradescantia virginiana,3,3,1.0,1.667,3,0.02857142857142857,1.0,0.1038564575415862,0.4321998629368887
Viola cornuta,3,3,1.0,1.667,3,0.02857142857142857,1.0,0.1038564575415862,0.4321998629368887
Trifolium incarnatum,3,2,0.667,1.667,2,0.02857142857142857,0.667,0.1038564575415862,0.29899986293688874
